Epoch,Train Loss,Val Loss,Val Spearman,Learning Rate
1,0.6129264333501866,0.8739578015481907,0.4393626027003574,0.01
2,0.5138899856568785,0.731029841315209,0.5101689993286732,0.01
3,0.4843476723985305,0.7188520074710307,0.52313348212288,0.01
4,0.47036649121735075,0.7420814371090795,0.4787658662221647,0.01
5,0.45722756865208625,1.0576520721997988,0.28681625633985147,0.01
6,0.4528002599543477,1.0031321141626928,0.380135278261771,0.01
7,0.4463274703770244,0.8066717172415772,0.39494811518187434,0.01
8,0.44216195709692874,0.495395305704943,0.6546724359890226,0.01
9,0.43532846512457163,0.5474580435100814,0.6137270820079689,0.01
10,0.4356838259482394,1.1532607418603802,0.2890788459799748,0.01
11,0.4323568126191211,0.7787178406831962,0.4809075591455622,0.01
12,0.43195473086916375,0.43992587855246523,0.6960141278098458,0.01
13,0.42466233977113405,0.4653444039903587,0.6791831345922898,0.01
14,0.42186232036008586,0.47350089976221116,0.6725227619425341,0.01
15,0.4216177312658589,0.6267818426612318,0.5773527047253146,0.01
16,0.4188790494091776,0.4598713885289827,0.6832662644977479,0.01
17,0.4169934224959905,0.4898428113384043,0.6531584750055999,0.01
18,0.4156991460592999,0.44721864068025485,0.6885248037172529,0.001
19,0.38039893028369914,0.37534129398300775,0.7474531766772838,0.001
20,0.37170069793441946,0.3735787848646719,0.7484233860052442,0.001
21,0.36905795051282075,0.37138352855823714,0.7500330230344544,0.001
22,0.3672836705734351,0.3696565296651754,0.7509787093553103,0.001
23,0.36579671976828515,0.3687099480829319,0.7510939814723736,0.001
24,0.3644524636177179,0.36758221145619685,0.75186169702616,0.001
25,0.3632275733000054,0.3664515131935079,0.7527181664786269,0.001
26,0.3621884208229338,0.3654651440127921,0.7534149506523521,0.001
27,0.361160884044347,0.3654351902973388,0.7528491989403915,0.001
28,0.3602061012247593,0.36439827472950503,0.7534963713164163,0.001
29,0.35930606570285367,0.36379425682303923,0.7539363881278219,0.001
30,0.35846010239836756,0.36261535884771207,0.754732068199504,0.001
31,0.3575393807963621,0.36248030273672094,0.754545760077809,0.001
32,0.35685796677494774,0.36205744010241914,0.7546468847722921,0.001
33,0.35610951062665686,0.3612838117378736,0.7551330637048566,0.001
34,0.3553446451482154,0.36159029777401547,0.7547273400399009,0.001
35,0.3547073616155115,0.3605900102211739,0.7556171786776075,0.001
36,0.35402494170794246,0.36032696964177946,0.7554392820469091,0.001
37,0.35343784557301766,0.36074113421443765,0.7549449457980104,0.001
38,0.3527988218551715,0.360180127620697,0.7552089231593458,0.001
39,0.3523013710433766,0.35926185359109714,0.756008864547851,0.001
40,0.35176492369977763,0.3597953469722302,0.7555372693791942,0.001
41,0.3510627866285389,0.3600376571017062,0.7546878437751375,0.001
42,0.350549395871748,0.35995878136003173,0.754849777972789,0.001
43,0.35001591372432556,0.36056528781733505,0.7540298108286163,0.001
44,0.3495826529278976,0.36004710267571843,0.754528172587797,0.001
45,0.34904055385658084,0.3589674396584105,0.7550420505764338,0.001
46,0.34851330152383586,0.35953010498247956,0.7546301861263305,0.001
47,0.3480407288025861,0.3587653904948369,0.755216105581987,0.001
48,0.34746428914096356,0.35889293763180374,0.7547831190514587,0.001
49,0.34701697969665235,0.3582026666498439,0.7553917660358079,0.001
50,0.3465942548527938,0.3582438087627303,0.7551162190592435,0.001
51,0.3462065623229945,0.3579164510469021,0.7552105611053066,0.001
